Filename,Channel 0,Channel 1,Channel 2,Channel 3
20180503 JenEggLinkerCurve,WL,B,N,N
20180501 JenEggLinkerCurve001,WL,B,G,R
20180430 JenEggLinkerCurve,WL,B,G,R
20180427 JenlinkerCompounds002,G,B,R,WL
20180426JenCurveCompounds,B,WL,N,N
20180424 Jen Compounds,WL,B,N,N
20180420 Jen Eggs curve,WL,B,N,N
20180417 Jen Eggs biopart,WL,B,G,R
20180413 Jen Eggs Biopart,WL,B,G,R
20180411 Jen Eggs,WL,B,G,R
20180409 Jen Eggs001,WL,B,G,R
20180406 Jen Eggs,WL,B,G,N
20180405 Jen Eggs,WL,B,G,N
20180327 Jen Compounds001,WL,B,N,N
2018_10_16_EggsBioparticleConjugated,B,WL,G,R
2018_10_16_EggsBioparticleConjugatedwithacid,B,WL,G,R
2018_10_15_EggHaD5LL37,B,WL,G,R
2018_10_12_EggsCurve,B,WL,N,N
2018_10_10 Linker Lengths001,B,WL,N,N
2018_10_05 Linker Lengths,B,WL,N,N
20181003 linker lengths,B,WL,N,N
20180928 Linkerlenghths,B,WL,N,N
20180926 BioparticlesConjugated,B,WL,G,R
20180926 BioparticlesConjugatedwithacid,B,WL,G,R
2018_10_17_EggsStaphConjugated,B,WL,G,N
2018_10_24_EggsStaphWashBodipy,B,WL,G,N
2018_10_29_Eggs_BioparticlesLL37A5,WL,B,G,R
2018_10_31_EggsStaphSrtAHaD5,B,WL,G,N
2018_11_1_EggsStaphSrtAHaD5,B,WL,G,N
2018_11_7_EggsBodipyPhrodo,WL,Bodipy,R,B
2018_11_7_EggsBodipyPhrodoAcid,WL,Bodipy,R,B
2018_11_8_Eggs_BodipyPhrodo,N,N,N,N
2018_11_13_EggsBodipy,N,N,N,N
2018_11_14_EggsBodipy,N,N,N,N
